iter	Passed	Remaining
344	103943	498628
345	104314	498657
346	104595	498259
347	104945	498189
348	105299	498135
349	105647	498054
350	106001	497997
351	106284	497606
352	106559	497179
353	106901	497060
354	107150	496512
355	107426	496093
356	107810	496169
357	108169	496130
358	108498	495950
359	108799	495643
360	109116	495404
361	109462	495301
362	109734	494863
363	110034	494551
364	110348	494299
365	110681	494136
366	110949	493678
367	111234	493302
368	111548	493050
369	111822	492625
370	112173	492534
371	112519	492423
372	112792	491993
373	113126	491826
374	113422	491495
375	113772	491399
376	114088	491154
377	114393	490860
378	114673	490462
379	114943	490020
380	115254	489754
381	115576	489534
382	115870	489195
383	116141	488760
384	116460	488528
385	116778	488292
386	117126	488177
387	117560	488421
388	117964	488535
389	118270	488245
390	118625	488155
391	118986	488085
392	119287	487773
393	119657	487739
394	120055	487820
395	120427	487792
396	120794	487742
397	121174	487744
398	121460	487365
